Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:13:22,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529602,0,0,0,0,
2020/01/20 14:13:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529612,0,0,0,0,
2020/01/20 14:13:51,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529631,0,0,0,0,
2020/01/20 14:14:01,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529641,0,0,0,0,
2020/01/20 14:14:11,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529651,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:14:43,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529683,0,0,0,0,
2020/01/20 14:14:53,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529693,0,0,0,0,
2020/01/20 14:15:03,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529703,0,0,0,0,
2020/01/20 14:15:22,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529722,0,0,0,0,
2020/01/20 14:15:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529732,0,0,0,0,
2020/01/20 14:15:42,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529742,0,0,0,0,
2020/01/20 14:16:01,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529761,0,0,0,0,
2020/01/20 14:16:11,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529771,0,0,0,0,
2020/01/20 14:16:21,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529781,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:16:53,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529813,0,0,0,0,
2020/01/20 14:17:03,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529823,0,0,0,0,
2020/01/20 14:17:13,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529833,0,0,0,0,
2020/01/20 14:17:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529852,0,0,0,0,
2020/01/20 14:17:42,10,2001,3001,2000,0,0,0,1,660,100,0,1,120,0,3,1579529862,0,0,0,0,
2020/01/20 14:17:52,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529872,0,0,0,0,
2020/01/20 14:18:16,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529896,0,0,0,0,
2020/01/20 14:18:26,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529906,0,0,0,0,
2020/01/20 14:18:36,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529916,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:19:08,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529948,0,0,0,0,
2020/01/20 14:19:18,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529958,0,0,0,0,
2020/01/20 14:19:28,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529968,0,0,0,0,
2020/01/20 14:19:47,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529987,0,0,0,0,
2020/01/20 14:19:57,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529997,0,0,0,0,
2020/01/20 14:20:07,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530007,0,0,0,0,
2020/01/20 14:20:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530032,0,0,0,0,
2020/01/20 14:20:42,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530042,0,0,0,0,
2020/01/20 14:20:52,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530052,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:21:18,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530078,0,0,0,0,
2020/01/20 14:21:28,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530088,0,0,0,0,
2020/01/20 14:21:38,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530098,0,0,0,0,
2020/01/20 14:21:57,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530117,0,0,0,0,
2020/01/20 14:22:07,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530127,0,0,0,0,
2020/01/20 14:22:17,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530137,0,0,0,0,
2020/01/20 14:22:36,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530156,0,0,0,0,
2020/01/20 14:22:45,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530165,0,0,0,0,
2020/01/20 14:22:55,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530175,0,0,0,0,
2020/01/20 14:23:05,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530185,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:23:28,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530208,0,0,0,0,
2020/01/20 14:23:38,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530218,0,0,0,0,
2020/01/20 14:23:48,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530228,0,0,0,0,
2020/01/20 14:24:07,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530247,0,0,0,0,
2020/01/20 14:24:17,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530257,0,0,0,0,
2020/01/20 14:24:27,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530267,0,0,0,0,
2020/01/20 14:24:49,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530289,0,0,0,0,
2020/01/20 14:24:59,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530299,0,0,0,0,
2020/01/20 14:25:09,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530309,0,0,0,0,
2020/01/20 14:25:13,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530313,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:25:41,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530341,0,0,0,0,
2020/01/20 14:25:51,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530351,0,0,0,0,
